Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
13/01/2026,Faktur Pembelian,2601046,ANDY (JMK),Lunas,MASUK,12900000.0,0.0
13/01/2026,Faktur Pembelian,2601057,ANDY (JMK),Lunas,"",2210000.0,0.0
13/01/2026,Faktur Pembelian,JL5526010412,YULI (HP CENTRE),Lunas,"",3302000.0,0.0
14/01/2026,Faktur Pembelian,17338,ONLINE,Lunas,"",16050000.0,0.0
14/01/2026,Faktur Pembelian,17339,HARAPAN BARU,Lunas,"",1585000.0,0.0
14/01/2026,Faktur Pembelian,JL.2601.03599,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",2785000.0,0.0
14/01/2026,Faktur Pembelian,17340,ONLINE,Lunas,"",3965000.0,0.0
14/01/2026,Faktur Pembelian,JL.2601.03757,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",3504000.000001,0.0
14/01/2026,Faktur Pembelian,ONLINE SBY / INV/2026/009108,WULAN (DISCOUNT NOTEBOOK),Lunas,"",1724500.0,0.0
14/01/2026,Faktur Pembelian,JL5526010476,YULI (HP CENTRE),Lunas,"",45599999.999999,0.0
14/01/2026,Faktur Pembelian,FK 3805,BETA COM,Lunas,"",3735000.0,0.0
15/01/2026,Faktur Pembelian,17343,FIKTIF BELI,Lunas,"",12690000.0,0.0
15/01/2026,Faktur Pembelian,JL.2601.03982,CANDRA (BLESSING),Lunas,"MASUK

VIA BSA",17059999.999998,0.0
15/01/2026,Faktur Pembelian,JL.2601.03984,CANDRA (BLESSING),Lunas,"MASUK 

VIA BSA",6285000.0,0.0
15/01/2026,Faktur Pembelian,JL.2601.03987,CANDRA (BLESSING),Lunas,"MASUK
",6285000.0,0.0
15/01/2026,Faktur Pembelian,01202694827,AGUS (DORAN),Lunas,"",12138650.0,0.0
