Supplier,Date,Transaksi,No.,Jatuh Tempo,Keterangan,Jumlah,Saldo
PT. Surya Makmur Kreasindo (HJ),04/06/2026	,Purchase Invoice,PJL-26-06-00081	,04/07/2026,MASUK ,7290000.0,7290000.0
PT. Surya Makmur Kreasindo (HJ),06/06/2026	,Purchase Invoice,PJL-26-06-00118	,06/07/2026,,19320000.0,19320000.0
PT. Surya Makmur Kreasindo (HJ),08/06/2026	,Purchase Invoice,PJL-26-06-00157	,08/07/2026,MASUK ,7599999.999999,7599999.999999
PT. Surya Makmur Kreasindo (HJ),08/06/2026	,Purchase Invoice,PJL-26-06-00152	,08/07/2026,MASUK ,7285000.0,7285000.0
PT. Surya Makmur Kreasindo (HJ),10/06/2026	,Purchase Invoice,PJL-26-06-00220	,10/07/2026,masuk ,35100000.0,35100000.0
PT. Surya Makmur Kreasindo (HJ),18/06/2026	,Purchase Invoice,PJL-26-06-00361	,18/07/2026,BELUM MASUK ,38100000.0,38100000.0
WULAN (DISCOUNT NOTEBOOK),11/06/2026	,Purchase Invoice,ONLINE SBY / INV/2026/108055	,11/07/2026,,1736500.0,1736500.0
YULI (HP CENTRE),30/05/2026	,Purchase Invoice,JL5526050830	,29/06/2026,MASUK ,4650000.0,4650000.0
YULI (HP CENTRE),03/06/2026	,Purchase Invoice,JL5526060065	,03/07/2026,"JATUH TEMPO DALAM NOTA 14 HARI, HARUSNYA 30 HARI, SUDAH KONFIRM KE PAK YULI.",38450000.000002,38450000.000002
YULI (HP CENTRE),03/06/2026	,Purchase Invoice,JL5526060064	,03/07/2026,MASUK,5580000.0,5580000.0
YULI (HP CENTRE),03/06/2026	,Purchase Invoice,JL5526060067	,03/07/2026,MASUK,10500000.0,10500000.0
YULI (HP CENTRE),04/06/2026	,Purchase Invoice,JL5526060110	,04/07/2026,MASUK,1330000.0,1330000.0
YULI (HP CENTRE),12/06/2026	,Purchase Invoice,JL5526060392	,12/07/2026,,3166000.0,3166000.0
