Product Code,Product Name,Unassigned,Total Quantity,Product Unit
"",* ASUS B1402CBA Ci7-1255U 16GB 512GB SSD WIN 11 EK,0,0,UNIT
"",* ASUS E210MAO INTEL N4020 4GB 256GB SSD,0,0,UNIT
"",* ASUS E210MAO INTEL N4020 8GB 512GB SSD #,0,0,UNIT
"",* ASUS E410MA INTEL N4020 4GB 512GB SSD,0,0,UNIT
"",* ASUS EXPERTBOOK B1402CBA Ci3 -1215U 8GB 512GB SSD WIN 11,0,0,UNIT
"",* ASUS EXPERTBOOK P1 P1403CVA INTEL CORE i3 - 1315U 8GB 512GB SSD WIN 11 + OHS,0,0,UNIT
"",* ASUS EXPERTBOOK P1411CJA CI3 1005G1 4GB 512GB SSD 14 INCS,0,0,UNIT
"","* ASUS EXPERTBOOK P2451FA - EK3420T CI3-10110U 4GB 256GB SSD 14""",0,0,UNIT
"",* ASUS Gaming K16 K3605VC Core i5 13420H 8GB DDR4 512GB SSD RTX 3050 4GB W11,0,0,UNIT
"",* ASUS M3401QC OLED 759 AMD RYZEN 7 - 5800H 8GB 512GB SSD RTX 3050 4GB WIN 11,0,0,UNIT
"","* ASUS M415DAO-FHD351 RYZEN 3 3250U 14"" FHD 8GB SSD 512GB PS",0,0,UNIT
"","* ASUS N7400PC-OLED714 SILVER Ci7 11370H WIN11 (14"" 2.8K OLED / RTX 3050 / 1TB SSD / 16GB) CREATOR",0,0,UNIT
"","* ASUS P1411CMA N4020 4GB 256GB SSD 14 "" (KS)",0,0,UNIT
"","* ASUS P1412CEA CI3-1115G4 4GB SSD 256GB WIN 11 14""",0,0,UNIT
"",* ASUS TUF A15 FA506IEB AMD RYZEN 7 4800H 2X8GB 512GB SSD RTX3050Ti 4GB WIN 11,0,0,UNIT
"",* ASUS TUF A15 FA506IHRB AMD RYZEN 5 4600H 8GB 512GB SSD GTX 1650 4GB WIN 11,0,0,UNIT
"",* ASUS TUF A15 FA506NCG AMD RYZEN 7 7745HS 8GB 512GB SSD RTX3050 4GB WIN 11,0,0,UNIT
"",* ASUS TUF DASH F15 FX517ZM Ci7-12650H 2X8GB 1TB SSD RTX 3060 6GB WIN 11 #,0,0,UNIT
"",* ASUS TUF F15 FX506HCB - I7 11600H 16GB 512GB SSD RTX 3050 4GB,0,0,UNIT
"",* ASUS TUF F15 FX506LH - I565B6T -O11 CI5-10300H 8GB 512GB SSD VGA GTX 1650 4GB W11,0,0,UNIT
